2025-11-26 18:04:10,635 | INFO     | root                 | Logging initialized. Saving to: C:\Users\Arib Ansari\Desktop\Minor Project\logs\app.log
2025-11-26 18:05:04,849 | INFO     | root                 | Logging initialized. Saving to: C:\Users\Arib Ansari\Desktop\Minor Project\logs\app.log
2025-11-26 18:05:05,007 | INFO     | root                 | Logging initialized. Saving to: C:\Users\Arib Ansari\Desktop\Minor Project\logs\app.log
2025-11-26 18:06:25,890 | INFO     | root                 | Logging initialized. Saving to: C:\Users\Arib Ansari\Desktop\Minor Project\logs\app.log
2025-11-26 18:13:30,431 | INFO     | root                 | Logging initialized. Saving to: C:\Users\Arib Ansari\Desktop\Minor Project\logs\app.log
2025-11-26 18:13:30,518 | INFO     | root                 | Logging initialized. Saving to: C:\Users\Arib Ansari\Desktop\Minor Project\logs\app.log
2025-11-26 18:13:34,578 | INFO     | llm_vision           | Loading YOLOv8 model: D:\models\yolo\yolov8m-seg.pt...
2025-11-26 18:13:34,737 | INFO     | gpu_manager          | Registered yolo model as active on GPU.
2025-11-26 18:13:34,738 | INFO     | llm_vision           | Segmenting image: C:\Users\Arib Ansari\Desktop\Minor Project\data\uploads\img_9b22214b.png
2025-11-26 18:13:35,454 | INFO     | llm_vision           | YOLO detected 0 feature blocks.
2025-11-26 18:13:35,455 | INFO     | llm_vision           | YOLO failed/skipped. Using 2x2 Grid Fallback.
2025-11-26 18:13:35,483 | WARNING  | gpu_manager          | Swapping Models: Unloading yolo to load vision...
2025-11-26 18:13:35,606 | INFO     | gpu_manager          | GPU VRAM cleared.
2025-11-26 18:13:35,615 | INFO     | llm_vision           | Loading LLaVA from D:\models\vision\llava-v1.6-mistral-7b.Q4_K_M.gguf
2025-11-26 18:13:40,564 | INFO     | gpu_manager          | Registered vision model as active on GPU.
2025-11-26 18:13:40,589 | INFO     | llm_vision           | Generating description for Block 0 (Top-Left Quadrant)...
2025-11-26 18:13:48,763 | INFO     | llm_vision           | Generating description for Block 1 (Top-Right Quadrant)...
2025-11-26 18:14:02,831 | INFO     | llm_vision           | Generating description for Block 2 (Bottom-Left Quadrant)...
2025-11-26 18:14:10,681 | INFO     | llm_vision           | Generating description for Block 3 (Bottom-Right Quadrant)...
2025-11-26 18:14:21,193 | INFO     | llm_vision           | Extracting global scene graph...
2025-11-26 18:14:38,590 | WARNING  | llm_vision           | Failed to parse JSON. Raw output: {"text": "Proposed Architecture for a GraphRAG based multimodal chat system. The architecture diagra...
2025-11-26 18:14:38,590 | INFO     | llm_vision           | Global Entities missing. Performing Smart Extraction on Feature Blocks.
2025-11-26 18:14:38,592 | WARNING  | gpu_manager          | Swapping Models: Unloading vision to load text...
2025-11-26 18:14:39,340 | INFO     | gpu_manager          | GPU VRAM cleared.
2025-11-26 18:14:39,341 | INFO     | llm_local            | Loading local TEXT model from: D:\models\Mistral-7B-Instruct-v0.1-GGUF\mistral-7b-instruct-v0.1.Q4_K_M.gguf
2025-11-26 18:14:43,332 | INFO     | llm_local            | Loaded text model in 3.98s
2025-11-26 18:14:43,332 | INFO     | gpu_manager          | Registered text model as active on GPU.
2025-11-26 18:14:45,710 | INFO     | llm_local            | Model generation completed, output length=340 chars
2025-11-26 18:14:45,712 | INFO     | llm_vision           | Block 'Top-Left Quadrant' refined into 2 entities.
2025-11-26 18:14:51,574 | INFO     | llm_local            | Model generation completed, output length=962 chars
2025-11-26 18:14:51,577 | INFO     | llm_vision           | Block 'Top-Right Quadrant' refined into 6 entities.
2025-11-26 18:14:57,244 | INFO     | llm_local            | Model generation completed, output length=998 chars
2025-11-26 18:14:57,246 | INFO     | llm_vision           | Block 'Bottom-Left Quadrant' refined into 5 entities.
2025-11-26 18:15:02,993 | INFO     | llm_local            | Model generation completed, output length=910 chars
2025-11-26 18:15:02,995 | INFO     | llm_vision           | Block 'Bottom-Right Quadrant' refined into 5 entities.
2025-11-26 18:15:03,007 | INFO     | graph_builder        | Building Image Graph img_img_9b22214b from C:\Users\Arib Ansari\Desktop\Minor Project\data\uploads\img_9b22214b.png
2025-11-26 18:15:03,008 | INFO     | neo4j                | Storing Scene Graph for Image img_img_9b22214b (18 ents). Context len: 77
2025-11-26 18:15:04,216 | INFO     | neo4j                | Image img_img_9b22214b stored successfully.
2025-11-26 18:15:04,216 | INFO     | graph_builder        | Starting Cross-Modal Fusion check...
2025-11-26 18:15:07,384 | INFO     | llm_local            | Model generation completed, output length=516 chars
2025-11-26 18:15:10,153 | INFO     | llm_local            | Model generation completed, output length=516 chars
2025-11-26 18:15:11,706 | INFO     | llm_local            | Model generation completed, output length=260 chars
2025-11-26 18:15:14,203 | INFO     | llm_local            | Model generation completed, output length=425 chars
2025-11-26 18:15:17,182 | INFO     | llm_local            | Model generation completed, output length=600 chars
2025-11-26 18:15:19,172 | INFO     | llm_local            | Model generation completed, output length=314 chars
2025-11-26 18:15:21,691 | INFO     | llm_local            | Model generation completed, output length=435 chars
2025-11-26 18:15:21,691 | INFO     | graph_builder        | Successfully stored and fused image graph img_img_9b22214b
2025-11-26 18:15:58,923 | INFO     | root                 | Logging initialized. Saving to: C:\Users\Arib Ansari\Desktop\Minor Project\logs\app.log
2025-11-26 18:15:58,991 | INFO     | enrichment           | Running Graph Enrichment for User arib...
2025-11-26 18:16:03,899 | INFO     | enrichment           | Enrichment Context: 10 Orphans + 0 Anchors.
2025-11-26 18:16:13,850 | INFO     | llm_local            | Model generation completed, output length=1587 chars
2025-11-26 18:16:13,856 | INFO     | enrichment           | LLM found no valid connections.
2025-11-26 18:16:17,735 | INFO     | root                 | Logging initialized. Saving to: C:\Users\Arib Ansari\Desktop\Minor Project\logs\app.log
2025-11-26 18:16:17,905 | INFO     | root                 | Logging initialized. Saving to: C:\Users\Arib Ansari\Desktop\Minor Project\logs\app.log
2025-11-26 18:16:18,804 | INFO     | root                 | Logging initialized. Saving to: C:\Users\Arib Ansari\Desktop\Minor Project\logs\app.log
2025-11-26 18:16:18,984 | INFO     | root                 | Logging initialized. Saving to: C:\Users\Arib Ansari\Desktop\Minor Project\logs\app.log
2025-11-26 18:16:19,172 | INFO     | root                 | Logging initialized. Saving to: C:\Users\Arib Ansari\Desktop\Minor Project\logs\app.log
2025-11-26 18:16:19,341 | INFO     | root                 | Logging initialized. Saving to: C:\Users\Arib Ansari\Desktop\Minor Project\logs\app.log
2025-11-26 18:16:19,510 | INFO     | root                 | Logging initialized. Saving to: C:\Users\Arib Ansari\Desktop\Minor Project\logs\app.log
2025-11-26 18:16:19,682 | INFO     | root                 | Logging initialized. Saving to: C:\Users\Arib Ansari\Desktop\Minor Project\logs\app.log
2025-11-26 18:16:19,851 | INFO     | root                 | Logging initialized. Saving to: C:\Users\Arib Ansari\Desktop\Minor Project\logs\app.log
2025-11-26 18:16:20,026 | INFO     | root                 | Logging initialized. Saving to: C:\Users\Arib Ansari\Desktop\Minor Project\logs\app.log
2025-11-26 18:16:20,197 | INFO     | root                 | Logging initialized. Saving to: C:\Users\Arib Ansari\Desktop\Minor Project\logs\app.log
2025-11-26 18:16:20,366 | INFO     | root                 | Logging initialized. Saving to: C:\Users\Arib Ansari\Desktop\Minor Project\logs\app.log
2025-11-26 18:16:20,547 | INFO     | root                 | Logging initialized. Saving to: C:\Users\Arib Ansari\Desktop\Minor Project\logs\app.log
2025-11-26 18:16:20,702 | INFO     | root                 | Logging initialized. Saving to: C:\Users\Arib Ansari\Desktop\Minor Project\logs\app.log
2025-11-26 18:16:20,875 | INFO     | root                 | Logging initialized. Saving to: C:\Users\Arib Ansari\Desktop\Minor Project\logs\app.log
2025-11-26 18:16:21,026 | INFO     | root                 | Logging initialized. Saving to: C:\Users\Arib Ansari\Desktop\Minor Project\logs\app.log
2025-11-26 18:16:21,197 | INFO     | root                 | Logging initialized. Saving to: C:\Users\Arib Ansari\Desktop\Minor Project\logs\app.log
2025-11-26 18:16:21,362 | INFO     | root                 | Logging initialized. Saving to: C:\Users\Arib Ansari\Desktop\Minor Project\logs\app.log
2025-11-26 18:16:21,504 | INFO     | root                 | Logging initialized. Saving to: C:\Users\Arib Ansari\Desktop\Minor Project\logs\app.log
2025-11-26 18:16:21,674 | INFO     | root                 | Logging initialized. Saving to: C:\Users\Arib Ansari\Desktop\Minor Project\logs\app.log
2025-11-26 18:16:23,621 | INFO     | root                 | Logging initialized. Saving to: C:\Users\Arib Ansari\Desktop\Minor Project\logs\app.log
2025-11-26 18:16:23,638 | INFO     | enrichment           | Running Graph Enrichment for User arib...
2025-11-26 18:16:23,647 | INFO     | enrichment           | Enrichment Context: 18 Orphans + 0 Anchors.
2025-11-26 18:16:47,562 | INFO     | llm_local            | Model generation completed, output length=3700 chars
2025-11-26 18:16:47,563 | INFO     | enrichment           | LLM found no valid connections.
2025-11-26 18:51:14,898 | INFO     | root                 | Logging initialized. Saving to: C:\Users\Arib Ansari\Desktop\Minor Project\logs\app.log
2025-11-26 18:51:19,082 | INFO     | neo4j                | [OK] APOC detected: 5.26.16
2025-11-26 18:51:19,087 | INFO     | neo4j                | Executed index/constraint: CREATE CONSTRAINT entity_name_unique IF NOT EXISTS FOR (e:Entity) REQUIRE e.name IS UNIQUE
2025-11-26 18:51:19,087 | INFO     | neo4j.notifications  | Received notification from DBMS server: <GqlStatusObject gql_status='00NA0', status_description="note: successful completion - index or constraint already exists. The command 'CREATE CONSTRAINT entity_name_unique IF NOT EXISTS FOR (e:Entity) REQUIRE (e.name) IS UNIQUE' has no effect. The index or constraint specified by 'CONSTRAINT entity_name_unique FOR (e:Entity) REQUIRE (e.name) IS UNIQUE' already exists.", position=None, raw_classification='SCHEMA', classification=<NotificationClassification.SCHEMA: 'SCHEMA'>, raw_severity='INFORMATION', severity=<NotificationSeverity.INFORMATION: 'INFORMATION'>, diagnostic_record={'_classification': 'SCHEMA', '_severity': 'INFORMATION', 'OPERATION': '', 'OPERATION_CODE': '0', 'CURRENT_SCHEMA': '/'}> for query: 'CREATE CONSTRAINT entity_name_unique IF NOT EXISTS FOR (e:Entity) REQUIRE e.name IS UNIQUE'
2025-11-26 18:51:19,090 | INFO     | neo4j                | Executed index/constraint: CREATE INDEX chunk_id_idx IF NOT EXISTS FOR (c:Chunk) ON (c.id)
2025-11-26 18:51:19,091 | INFO     | neo4j.notifications  | Received notification from DBMS server: <GqlStatusObject gql_status='00NA0', status_description="note: successful completion - index or constraint already exists. The command 'CREATE RANGE INDEX chunk_id_idx IF NOT EXISTS FOR (e:Chunk) ON (e.id)' has no effect. The index or constraint specified by 'RANGE INDEX chunk_id_unique FOR (e:Chunk) ON (e.id)' already exists.", position=None, raw_classification='SCHEMA', classification=<NotificationClassification.SCHEMA: 'SCHEMA'>, raw_severity='INFORMATION', severity=<NotificationSeverity.INFORMATION: 'INFORMATION'>, diagnostic_record={'_classification': 'SCHEMA', '_severity': 'INFORMATION', 'OPERATION': '', 'OPERATION_CODE': '0', 'CURRENT_SCHEMA': '/'}> for query: 'CREATE INDEX chunk_id_idx IF NOT EXISTS FOR (c:Chunk) ON (c.id)'
2025-11-26 18:51:19,092 | INFO     | neo4j                | Executed index/constraint: CREATE INDEX image_id_idx IF NOT EXISTS FOR (i:Image) ON (i.id)
2025-11-26 18:51:19,092 | INFO     | neo4j.notifications  | Received notification from DBMS server: <GqlStatusObject gql_status='00NA0', status_description="note: successful completion - index or constraint already exists. The command 'CREATE RANGE INDEX image_id_idx IF NOT EXISTS FOR (e:Image) ON (e.id)' has no effect. The index or constraint specified by 'RANGE INDEX unique_image_id FOR (e:Image) ON (e.id)' already exists.", position=None, raw_classification='SCHEMA', classification=<NotificationClassification.SCHEMA: 'SCHEMA'>, raw_severity='INFORMATION', severity=<NotificationSeverity.INFORMATION: 'INFORMATION'>, diagnostic_record={'_classification': 'SCHEMA', '_severity': 'INFORMATION', 'OPERATION': '', 'OPERATION_CODE': '0', 'CURRENT_SCHEMA': '/'}> for query: 'CREATE INDEX image_id_idx IF NOT EXISTS FOR (i:Image) ON (i.id)'
2025-11-26 18:51:19,094 | INFO     | neo4j                | Executed index/constraint: CREATE INDEX community_idx IF NOT EXISTS FOR (c:Community) ON (c.id)
2025-11-26 18:51:19,094 | INFO     | neo4j.notifications  | Received notification from DBMS server: <GqlStatusObject gql_status='00NA0', status_description="note: successful completion - index or constraint already exists. The command 'CREATE RANGE INDEX community_idx IF NOT EXISTS FOR (e:Community) ON (e.id)' has no effect. The index or constraint specified by 'RANGE INDEX community_id_unique FOR (e:Community) ON (e.id)' already exists.", position=None, raw_classification='SCHEMA', classification=<NotificationClassification.SCHEMA: 'SCHEMA'>, raw_severity='INFORMATION', severity=<NotificationSeverity.INFORMATION: 'INFORMATION'>, diagnostic_record={'_classification': 'SCHEMA', '_severity': 'INFORMATION', 'OPERATION': '', 'OPERATION_CODE': '0', 'CURRENT_SCHEMA': '/'}> for query: 'CREATE INDEX community_idx IF NOT EXISTS FOR (c:Community) ON (c.id)'
2025-11-26 18:51:19,096 | INFO     | neo4j                | Executed index/constraint: CREATE INDEX user_id_idx IF NOT EXISTS FOR (u:User) ON (u.id)
2025-11-26 18:51:19,096 | INFO     | neo4j.notifications  | Received notification from DBMS server: <GqlStatusObject gql_status='00NA0', status_description="note: successful completion - index or constraint already exists. The command 'CREATE RANGE INDEX user_id_idx IF NOT EXISTS FOR (e:User) ON (e.id)' has no effect. The index or constraint specified by 'RANGE INDEX unique_user FOR (e:User) ON (e.id)' already exists.", position=None, raw_classification='SCHEMA', classification=<NotificationClassification.SCHEMA: 'SCHEMA'>, raw_severity='INFORMATION', severity=<NotificationSeverity.INFORMATION: 'INFORMATION'>, diagnostic_record={'_classification': 'SCHEMA', '_severity': 'INFORMATION', 'OPERATION': '', 'OPERATION_CODE': '0', 'CURRENT_SCHEMA': '/'}> for query: 'CREATE INDEX user_id_idx IF NOT EXISTS FOR (u:User) ON (u.id)'
2025-11-26 18:51:28,016 | INFO     | root                 | Logging initialized. Saving to: C:\Users\Arib Ansari\Desktop\Minor Project\logs\app.log
2025-11-26 18:51:28,193 | INFO     | root                 | Logging initialized. Saving to: C:\Users\Arib Ansari\Desktop\Minor Project\logs\app.log
2025-11-26 18:51:32,860 | INFO     | root                 | Logging initialized. Saving to: C:\Users\Arib Ansari\Desktop\Minor Project\logs\app.log
2025-11-26 18:51:35,750 | INFO     | root                 | Logging initialized. Saving to: C:\Users\Arib Ansari\Desktop\Minor Project\logs\app.log
2025-11-26 18:51:35,909 | INFO     | root                 | Logging initialized. Saving to: C:\Users\Arib Ansari\Desktop\Minor Project\logs\app.log
2025-11-26 18:51:36,073 | INFO     | root                 | Logging initialized. Saving to: C:\Users\Arib Ansari\Desktop\Minor Project\logs\app.log
2025-11-26 18:51:36,255 | INFO     | root                 | Logging initialized. Saving to: C:\Users\Arib Ansari\Desktop\Minor Project\logs\app.log
2025-11-26 18:51:36,402 | INFO     | root                 | Logging initialized. Saving to: C:\Users\Arib Ansari\Desktop\Minor Project\logs\app.log
2025-11-26 18:51:37,758 | INFO     | root                 | Logging initialized. Saving to: C:\Users\Arib Ansari\Desktop\Minor Project\logs\app.log
2025-11-26 18:51:37,779 | INFO     | enrichment           | Running Graph Enrichment for User arib...
2025-11-26 18:51:42,080 | WARNING  | neo4j.notifications  | Received notification from DBMS server: <GqlStatusObject gql_status='01N51', status_description='warn: relationship type does not exist. The relationship type `RELATED` does not exist. Verify that the spelling is correct.', position=<SummaryInputPosition line=6, column=21, offset=205>, raw_classification='UNRECOGNIZED', classification=<NotificationClassification.UNRECOGNIZED: 'UNRECOGNIZED'>, raw_severity='WARNING', severity=<NotificationSeverity.WARNING: 'WARNING'>, diagnostic_record={'_classification': 'UNRECOGNIZED', '_severity': 'WARNING', '_position': {'offset': 205, 'line': 6, 'column': 21}, 'OPERATION': '', 'OPERATION_CODE': '0', 'CURRENT_SCHEMA': '/'}> for query: '\n    MATCH (u:User {id: $uid})-[:INTERESTED_IN]->(source)\n    MATCH (source)-[:MENTIONED_IN|DEPICTS]->(e:Entity)\n    \n    // Mathematical Filter: Only nodes where connection count is 0\n    WHERE NOT (e)-[:RELATED]-(:Entity)\n    \n    RETURN DISTINCT e.name as name, e.type as type, e.description as desc\n    LIMIT $limit\n    '
2025-11-26 18:51:42,183 | WARNING  | neo4j.notifications  | Received notification from DBMS server: <GqlStatusObject gql_status='01N51', status_description='warn: relationship type does not exist. The relationship type `RELATED` does not exist. Verify that the spelling is correct.', position=<SummaryInputPosition line=6, column=27, offset=207>, raw_classification='UNRECOGNIZED', classification=<NotificationClassification.UNRECOGNIZED: 'UNRECOGNIZED'>, raw_severity='WARNING', severity=<NotificationSeverity.WARNING: 'WARNING'>, diagnostic_record={'_classification': 'UNRECOGNIZED', '_severity': 'WARNING', '_position': {'offset': 207, 'line': 6, 'column': 27}, 'OPERATION': '', 'OPERATION_CODE': '0', 'CURRENT_SCHEMA': '/'}> for query: '\n    MATCH (u:User {id: $uid})-[:INTERESTED_IN]->(source)\n    MATCH (source)-[:MENTIONED_IN|DEPICTS]->(e:Entity)\n    \n    // Mathematical Calculation: Count existing semantic links\n    OPTIONAL MATCH (e)-[r:RELATED]-(peer:Entity)\n    WITH e, count(r) as semantic_degree\n    \n    // Filter: Must be connected to act as an anchor\n    WHERE semantic_degree > 0\n    \n    RETURN DISTINCT e.name as name, e.type as type, e.description as desc, semantic_degree\n    ORDER BY semantic_degree DESC\n    LIMIT $limit\n    '
2025-11-26 18:51:42,184 | INFO     | enrichment           | Context: 18 Orphans (0 links) + 0 Anchors (Avg 0 links)
2025-11-26 18:51:42,197 | INFO     | llm_local            | Loading local TEXT model from: D:\models\Mistral-7B-Instruct-v0.1-GGUF\mistral-7b-instruct-v0.1.Q4_K_M.gguf
2025-11-26 18:51:47,138 | INFO     | llm_local            | Loaded text model in 4.93s
2025-11-26 18:51:47,142 | INFO     | gpu_manager          | Registered text model as active on GPU.
2025-11-26 18:52:03,935 | INFO     | llm_local            | Model generation completed, output length=2348 chars
2025-11-26 18:52:03,940 | INFO     | enrichment           | LLM identified 14 new connections:
2025-11-26 18:52:03,940 | INFO     | enrichment           |    [LINK] User context --[NEEDS_TO_BE_CONNECTED_TO]--> Preprocessing & Feature Extraction
2025-11-26 18:52:03,940 | INFO     | enrichment           |    [LINK] Preprocessing & Feature Extraction --[NEEDS_TO_BE_CONNECTED_TO]--> Text Chunking
2025-11-26 18:52:03,941 | INFO     | enrichment           |    [LINK] Text Chunking --[NEEDS_TO_BE_CONNECTED_TO]--> Multimodal Data Ingestion
2025-11-26 18:52:03,941 | INFO     | enrichment           |    [LINK] Multimodal Data Ingestion --[NEEDS_TO_BE_CONNECTED_TO]--> Processing & Feature Extraction
2025-11-26 18:52:03,941 | INFO     | enrichment           |    [LINK] Processing & Feature Extraction --[NEEDS_TO_BE_CONNECTED_TO]--> Images
2025-11-26 18:52:03,941 | INFO     | enrichment           |    [LINK] Processing & Feature Extraction --[NEEDS_TO_BE_CONNECTED_TO]--> Multimodal Features
2025-11-26 18:52:03,942 | INFO     | enrichment           |    [LINK] Processing & Feature Extraction --[NEEDS_TO_BE_CONNECTED_TO]--> querying
2025-11-26 18:52:03,942 | INFO     | enrichment           |    [LINK] Processing & Feature Extraction --[NEEDS_TO_BE_CONNECTED_TO]--> Diagrams
2025-11-26 18:52:03,942 | INFO     | enrichment           |    [LINK] Community Detection --[NEEDS_TO_BE_CONNECTED_TO]--> Per suserized User-Specific C ontext
2025-11-26 18:52:03,942 | INFO     | enrichment           |    [LINK] Community Detection --[NEEDS_TO_BE_CONNECTED_TO]--> Community detection
2025-11-26 18:52:03,943 | INFO     | enrichment           |    [LINK] Local LM via Ollama/Entity + Relation Extraction --[NEEDS_TO_BE_CONNECTED_TO]--> extraction
2025-11-26 18:52:03,943 | INFO     | enrichment           |    [LINK] extraction --[NEEDS_TO_BE_CONNECTED_TO]--> subgraphs
2025-11-26 18:52:03,943 | INFO     | enrichment           |    [LINK] Proposed Algorithm --[NEEDS_TO_BE_CONNECTED_TO]--> Feature Extraction
2025-11-26 18:52:03,944 | INFO     | enrichment           |    [LINK] Feature Extraction --[NEEDS_TO_BE_CONNECTED_TO]--> Creation
2025-11-26 18:52:04,110 | INFO     | enrichment           | Enrichment Success: Created 14 links.
2025-11-26 18:59:26,723 | INFO     | root                 | Logging initialized. Saving to: C:\Users\Arib Ansari\Desktop\Minor Project\logs\app.log
2025-11-26 18:59:30,883 | INFO     | neo4j                | [OK] APOC detected: 5.26.16
2025-11-26 18:59:30,885 | INFO     | neo4j                | Executed index/constraint: CREATE CONSTRAINT entity_name_unique IF NOT EXISTS FOR (e:Entity) REQUIRE e.name IS UNIQUE
2025-11-26 18:59:30,886 | INFO     | neo4j.notifications  | Received notification from DBMS server: <GqlStatusObject gql_status='00NA0', status_description="note: successful completion - index or constraint already exists. The command 'CREATE CONSTRAINT entity_name_unique IF NOT EXISTS FOR (e:Entity) REQUIRE (e.name) IS UNIQUE' has no effect. The index or constraint specified by 'CONSTRAINT entity_name_unique FOR (e:Entity) REQUIRE (e.name) IS UNIQUE' already exists.", position=None, raw_classification='SCHEMA', classification=<NotificationClassification.SCHEMA: 'SCHEMA'>, raw_severity='INFORMATION', severity=<NotificationSeverity.INFORMATION: 'INFORMATION'>, diagnostic_record={'_classification': 'SCHEMA', '_severity': 'INFORMATION', 'OPERATION': '', 'OPERATION_CODE': '0', 'CURRENT_SCHEMA': '/'}> for query: 'CREATE CONSTRAINT entity_name_unique IF NOT EXISTS FOR (e:Entity) REQUIRE e.name IS UNIQUE'
2025-11-26 18:59:30,888 | INFO     | neo4j                | Executed index/constraint: CREATE INDEX chunk_id_idx IF NOT EXISTS FOR (c:Chunk) ON (c.id)
